Text,Media,Label
"Bola.com, Jakarta - Manchester United (MU) mampu menjaga konsistensi di Liga Inggris musim 2022/2023 dengan baik. Mereka berhasil untuk ikut bersaing di papan atas.

Pada papan klasemen sementara, MU bertengger di urutan ketiga dengan nilai 46 dari 23 laga. Tim berjulukan Setan Merah hanya berjarak lima poin di bawah Arsenal.

Meski Arsenal masih punya tabungan pertandingan, namun kans MU untuk membuat kejutan di musim ini terbuka lebar. Apalagi kompetisi masih menyisakan 15 pertandingan ke depan.

Satu di antara fakta menarik dari performa apik MU adalah setelah kepergian Cristiano Ronaldo. Penampilan mereka justru lebih moncer dan gacor selepas pemain Portugal itu cabut di akhir tahun kemarin.",bola,olahraga
"Tottenham Hotspur di luar perkiraan melejit dan memimpin Premier League. Mauricio Pochettino memuji mantan timnya itu sebagai kandidat juara musim ini.

Tottenham memulai musim ini dengan banyak keraguan. Alasan pertama adalah penunjukan Ange Postecoglou, yang tak punya pengalaman di Premier League, sebagai manajer tetap.

Alasan kedua adalah kepergian Harry Kane ke Bayern Munich. Hengkangnya Kane, yang selama ini menggendong tim, diprediksi bikin The Lilywhites kehilangan titik tumpu permainan.

ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT

Tapi nyatanya Spurs malah melesat dan belum terkalahkan hingga 10 pekan. Son Heung-min dkk kini memuncaki klasemen dengan 26 poin hasil delapan kemenangan dan dua kali imbang, dua poin di depan Arsenal dan Manchester City.

Akhir pekan ini, Spurs akan disambangi mantan manajernya, Pochettino, yang kini memimpin Chelsea. Beda nasib dengan Spurs, Chelsea masih berupaya menemukan permainan terbaiknya sejak diambil alih Todd Boehly dan merombak skuad besar-besaran.

Dengan kondisi yang berbeda menuju laga di Tottenham Hotspur Stadium, Selasa (7/11/2023) dini hari WIB, Pochettino tak malu-malu mengakui Spurs sebagai kandidat juara, meski ini laga derby buat Chelsea.

""Ya, saya rasa demikian. Mereka bekerja dengan fantastis. Ange dan staf pelatih, yang saya sangat tahu, bekerja dengan bagus,"" ungkapnya dikutip BBC.

""Tentu saja mereka bisa menjadi kandidat juara. Mereka menunjukkan kualitas untuk jadi kandidat juara,"" imbuh manajer asal Argentina itu.

Postecoglou: Terlalu Dini Bicara soal Titel Juara Premier League",detik,olahraga
"SAARBRUCKEN - Dejan Ferdinansyah/Gloria Emanuelle Widjaja tumbang di babak perempatfinal Hylo Open 2023 Super 300. Ganda campuran Indonesia itu takluk dari Tang Chun Man/Tse Ying Suet lewat pertarungan tiga gim 15-21, 22-20, dan 13-21.

Bermain di Saarlandhalle, Saarbrucken, Jerman, Jumat (3/11/2023) malam WIB, Dejan/Gloria Dejan/Gloria langsung mendapat tekanan sejak awal dari Tang/Tse. Pasangan nomor 17 dunia itu harus tertinggal 3-8 dari utusan Hong Kong tersebut.

Pasangan Tanah Air itu mencoba untuk keluar dari tekanan yang diberikan lawannya itu. Namun sayang, Dejan/Gloria harus tertinggal dari Tang/Tse di interval pertama dengan skor 5-11.

Selepas interval, Dejan/Gloria masih kesulitan untuk keluar dari tekanan yang diberikan Tang/Tse. Bahkan pasangan Indonesia itu harus tertinggal cukup jauh dengan skor 10-16. Alhasil, mereka pun harus takluk di gim pertama dengan skor 15-21.

Di gim kedua, Dejan/Gloria memulainya dengan cukup baik. Namun, Tang/Tse juga memberikan perlawanan yang sengit sehingga berhasil menyamakan kedudukan menjadi 10-10.

Pada akhirnya, Tang/Tse mampu kembali ungguli pasangan Indonesia di interval dengan skor 11-10. Selepas interval, Dejan/Gloria memberikan perlawanan yang cukup sengit dengan memperkecil kedudukan menjadi 14-15.

Follow Berita Okezone di Google News

Akan tetapi, pasangan Hong Kong itu mampu memperlebar keunggulannya menjadui 17-14. Dejan/Gloria mampu menyamakan kedudukan menjadi 19-19. Secara mengejutkan, Dejan/Gloria berhasil menutup gim kedua dengan kemenangan 22-20 atas Tang/Tse. Pada gim ketiga, Dejan/Gloria kembali mendapat perlawanan yang sengit dari pasangan Hong Kong. Mereka bahkan harus tertinggal di interval dengan skor 7-11. Selepas interval, Dejan/Gloria memperkecil kedudukan menjadi 11-13. Hanya saja, Tang/Tse mampu memperlebar keunggulannya menjadi 16-12. Pada akhirnya, Dejan/Gloria harus mengakui ketangguhan wakil Hong Kong karena kalah dengan skor 13-21. BACA JUGA: Saat Praveen Jordan/Melati Daeva Bikin Pebulu Tangkis Denmark Matias Christiansen/Alexandra Boje Tubrukkan hingga Ngepel Lantai di Hylo Open 2023 Dengan hasil itu, Dejan/Gloria terhenti di babak perempatfinal Hylo Open 2023. Mereka gagal menyusul langkah Rehan Naufal Kusharjanto/Lisa Ayu Kusumawati yang melenggang ke empat besar.",okezone,olahraga
"Bola.com, Jakarta - Pembalap GASGAS Factory Racing Tech 3, Pol Espargaro, tak segan-segan mengkritik cara KTM memperlakukan para pembalapnya di MotoGP. Pasalnya, mereka lagi-lagi mengambil keputusan kontroversial yang membuat masa depan ridernya penuh tanda tanya.

Sejak 2020, KTM memang panen kritik dari para ridernya. Dimulai dengan keputusan mereka meletakkan Brad Binder di tim pabrikan alih-alih memilih Miguel Oliveira yang lebih dulu berlaga di MotoGP dengan mereka. Pada akhir 2021, mereka juga memicu konflik dengan dua rider Tech 3.

Mereka mengumumkan pendepakan Iker Lecuona dan Danilo Petrucci saat keduanya masih menjalani sesi kualifikasi di Seri Austria, karena buru-buru mengumumkan Raul Fernandez sebagai tandem Remy Gardner pada 2022. Langkah tersebut dianggap Lecuona dan Petrucci tidak etis.

--

Yuk gabung channel whatsapp Bola.com untuk mendapatkan berita-berita terbaru tentang Timnas Indonesia, BRI Liga 1, Liga Champions, Liga Inggris, Liga Italia, Liga Spanyol, bola voli, MotoGP, hingga bulutangkis. Klik di sini (JOIN)",bola,olahraga
"KOMPAS.com - Indonesia akan menjadi tuan rumah Kejuaraan dunia jetski pada April atau Mei 2024.

Hal itu diungkapkan Ketua Umum IJBA, Saiful Sutan Aswar atau yang akrab disapa Fully saat memaparkan ‘road map prestasi dunia dan penyelenggaraan kejuaraan dunia 2024 Indonesia di Kantor NOC Indonesia, Jakarta, Rabu (1/10/2023)

“Ya kami akan mengadakan seri dunia yang dilakukan oleh beberapa negara tapi Indonesia bagian dari itu. Mungkin cuma tiga negara totalnya empat termasuk world final,” kata Fully.

Selain kelas senior, Indonesia juga akan memasukan pertandingan untuk kelas junior.

Fully mengaku kelas ini sangat penting guna mengasah kemampuan para pebalap dalam bertanding sejak dini.

“Nah, yang junior ini baru pertama kali, waktu saya sampaikan yang respons awal itu Amerika, dia langsung datang ke saya, dia mau siapin semua. Amerika mau siapkan atletnya dari usia 10 tahun sampai sekian, supaya ada rangsangan di dunia bahwa atlet yang muda ini sudah harus disiapkan di semua negara,"" papar Fully.

Baca juga: Hasil Man United Vs Newcastle 0-3, Setan Merah Runtuh di Teater Impian

Untuk lokasi penyelenggaraan seri kejuaraan dunia jetski ini, Fully memperkirakan akan digelar di kawasan Ancol.

Fasilitas di kawasan Ancol lebih memadai karena sudah pernah dipakai di Asian Games 2018 sehingga persiapan akan lebih mudah.

""Lokasi bisa di Jakarta. Saya tentunya inginnya di Jakarta. Paling ideal fasilitasnya sudah ada semua. Kalau sudah ada fasilitas jadi lebih murah. Di seluruh dunia sudah tahu tempat kita di Jakarta. Itu menjadi icon dunia karena tidak ada yang punya seperti itu,"" tegas Fully.

Seperti diketahui, prestasi atlet Indonesia Jet Ski di level dunia masih didominasi oleh Aero dan Aksa Aswar.",kompas,olahraga
"PHILADELPHIA - Rumor kepindahan James Harden dari Philadelphia 76ers terjawab sudah. Dia resmi ditukar ke LA Clippers dan akan bergabung bersama Kawhi Leonard, Paul George, dan Russell Westbrook.

Harden sudah meminta untuk hengkang dari 76ers sejak beberapa waktu lalu. Setelah proses tarik-ulur yang panjang, pebasket yang identik dengan janggut panjangnya itu akhirnya akan berlabuh ke Clippers dan bergabung dengan tiga bintang lainnya di sana.

""Philadelphia 76ers telah setuju skema penukaran dan mengirimkan James Harden ke LA Clippers,"" tulis Adrian Wojnarowski di akun Twitter pribadinya @wojespn, Selasa (31/10/2023).

Adapun Harden akan ditukar dengan beberapa pemain dari Clippers dan juga draft picks. Philadelphia 76ers juga mengirimkan pemain lain selain Hardeen.

""Philadelphia 76ers mendapatkan Marcus Morris, Nic Batum, Robert Covington, KJ Martin, sejumlah draft picks, dan menukar draft picks untuk James Harden, PJ Tucker, dan Filip Petrusev,"" tulis Woj.

""Clippers mengirimkan draft pick ronde pertama 2028, dua draft pick rondee kedua, dan penukaran draft pick ke 76ers,"" tambahnya.

Follow Berita Okezone di Google News

""Clippers juga akan menambahkan tambahan draft pick ronde pertama dari tim ketiga kepada 76ers,"" tutup Woj. BACA JUGA: Bintang Philadelphia 76ers James Harden Disebut Bakal Lakukan Segala Cara Demi Gabung Los Angeles Clippers di NBA 2023-2024 Guard 76ers, Danny Green, menjadi korban dari pertukaran James Harden ke Clippers. Philadelphia 76ers akan memutus kontrak Green untuk bisa menyelesaikan pertukaran pemain tersebut.",okezone,olahraga
"Marcus Rashford masih mejan di Manchester United. Erik ten Hag yakin penyerang andalannya itu akan segera on fire.

Pada musim ini, Rashford sudah bermain sebanyak 14 kali di semua ajang. Dia memberi kontribusi satu gol dan tiga assist.

Kontribusi Rashford itu menurun jika dibandingkan dengan musim lalu. Pemain 26 tahun itu menyumbangkan 30 gol dan 11 assist untuk MU di semua ajang.

ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT

Satu-satunya gol Rashford pada musim ini dikemas saat Man United kalah 1-3 dari Arsenal. Melihat Rashford saat latihan, Ten Hag pun yakin bahwa pemain nomor punggung 10 itu akan bisa segera menyumbangkan banyak gol,

""Sangat. Dan, juga, saya yakin bahwa dia akan kembali ke jalur yang benar,"" kata Ten Hag di situs MU.

""Saya melihat dia tampil bagus saat latihan, jadi saya pikir dia akan segera kembali ke trek yang benar. Dia akan membuat banyak gol untuk kami dan dia akan sangat penting untuk kami.""

""Sekali kami menemukan ritme kami, sekali tim menemukan ritmenya, juga akan mudah untuknya,"" kata dia menambahkan.

MU akan melawan Fulham dalam lanjutan Liga Inggris malam nanti. Bisa mengakhiri puasa gol di Craven Cottage, Sabtu (4/11), Rashford?

Rashford Kecewa Harus Menepi Gegara Cedera",detik,olahraga
"MEMASUKI Oktober, beragam wahana permainan dengan tema hantu mulai bermunculan di Tangerang. Salah satunya wahana rumah hantu yang berkonsep Psyco-Thriller yang berada di salah satu mall di wilayah Gading Serpong.

Rumah hantu ini diklaim sebagai rumah hantu dengan konsep Psyco-thriller pertama di Indonesia. Rumah hantu ini bukan hanya menakuti pengunjung, tapi mencoba memainkan pikiran alam bawah sadar setiap orang yang masuk.

Berbeda dengan konsep rumah hantu biasa yang menampilkan hantu dengan make-up seram, wahana Rumah Hantu Suwirjo justru mengandalkan imajinasi dan psikologis pengunjung. Inspirasi yang berasal dari kisah nyata menambah kewaspadaan yang akan dirasakan pengunjung begitu masuk ke rumah hantu tersebut.

BACA JUGA:

""Kami terinspirasi dari kisah nyata di daerah Jawa Timur yang terjadi pada tahun 1987. Kami tertarik dengan kisah ini karena kejadian tersebut sempat menggemparkan bumi nusantara”, jelas CEO Festiva Entertaiment Indonesia, Matthew Anton.

Berbeda dengan konsep rumah hantu biasanya, pengunjung justru diajak menjadi bagian dari kisah Suwirdjo, tokoh utama di rumah hantu ini. Bahkan, pengunjung juga diberi peringatan mengenai sosok Suwirdjo yang berbahaya. Menariknya, sosok Suwirdjo ini bukanlah hantu tetapi dukun yang diduga pelaku pembunuhan berantai.

""Tokoh utamanya justru bukan hantu, tapi itu yang membuat menarik. Kita bermain sisi psikologis pengunjung dengan memberikan ultimatum berupa sifat-sifat Suwirdjo, dan perilakunya,"" lanjut Matthew.

Meskipun tidak menampilkan sosok dengan wajah menyeramkan, namun suasana di dalam wahana mampu membius pengunjung agar segera keluar dari dalam wahana. Terlebih lagi, sosok bernama Suwirjo seolah-olah mengikuti kemanapun pengunjung pergi. Ditambah lagi, setiap ruangan yang ada menyajikan 'sesuatu' yang membuat pengunjung tak nyaman berada di sana.

""Kita mencoba memasuki pikiran pengunjung kalau mereka itu dalam benar-benar bahaya, dan memang konsepnya pengunjung itu sendiri bagian dari cerita di rumah itu, dan seolah-olah mereka adalah target pembunuhan berikutnya,"" lanjutnya.

BACA JUGA:

Salah satu pengunjung, Sherly mengungkapkan bahwa kengerian di rumah hantu tersebut berasal dari kemunculan para korban Suwirdjo. Aroma khas rumah lama yang tidak terawat bercampur dengan wangi bunga sesajen menambah rasa tidak nyaman saat berada di sana.

""Kita tuh di dalam gak nyaman, pengen cepat keluar. Padahal hantunya juga gak terlalu menunjukkan muka, tapi aroma gak enak, terus mimik muka talentnya, jadi bikin kita seolah-olah dikejar sama Suwirdjo,"" ungkapmya.

Wahana ini memang dipersiapkan untuk menjadi rekreasi hiburan para penguji nyali dan pencinta adrenaline yang telah dibuka mulai 30 September 2023 - 28 November 2023 berlokasi di Mall Cartensz, dengan tiket masuk mulai dari Rp50 ribu.

Follow Berita Okezone di Google News

(sal)",okezone,hiburan
"LEWAT single hits Get A Guitar dan pre-single, Memories, RIIZE, boy group terbaru dari SM Entertaiment sudah meraih kesuksesan dan sederet prestasi sejak resmi debut pada 4 September 2023.

Bersama satu lagu lainnya, Siren, RIIZE mencetak banyak prestasi, Mulai dari masuk chart Top 10 Hot Trending Songs Billboard, Billboard Hot Trending Songs charts, peringkat 7 di Worldwide iTunes yang mana tertinggi untuk grup pendatang baru di tahun ini, hingga menduduki peringkat Tops Oricon's Daily Album Chart, dan sukses menjadi Million Seller dengan menjual lebih dari satu juta kopi album di minggu pertama perilisan.

Meski bisa dibilang sudah sukses sejak debut, para personel RIIZE, Shotaro, Anton, Seunghan, Eunseok, Sungchan, Wonbin dan Sohee menuturkan tentunya mereka punya target besar ke depannya.

BACA JUGA:

(Foto: MPI/ Aldhi Chandra)

BACA JUGA: RIIZE Bocorkan Persiapan Tampil di ITA 2023 Malam Ini

“Manggung di konser SMTown di Stadion GBK kemarin, membuat saya terpikir bagaimana ke depannya tempat semegah sebesar stadion ini bisa penuh untuk konser RIIZE sendiri,” kata Shotaro saat diwawancara dalam gelaran RIIZE Media Day MNC, di Park Hyatt, Jakarta Pusat baru-baru ini.

“Saya juga kepikiran yang sama, kalau world tour kan bisa ketemu BRIIZE di seluruh dunia dan ke depannya bisa konser di Indonesia juga,” tambah Anton.

Follow Berita Okezone di Google News

Sementara sang vokalis utama, Sohee menyebut dirinya bermimpi bisa menampilkan lagu-lagu yang ditulis sendiri oleh para personel RIIZE. (Sohee RIIZE, Foto: MPI/ Aldhi Chandra) “Impian saya, saya mikir bagaimana semua personel RIIZE bisa menulis lagu sendiri,” ujar Sohee. Senada dengan Sohee, Seunghan mengaku ke depannya ia ingin ketujuh personel RIIZE bisa memproduksi musik sendiri. (Seunghan RIIZE, Foto: MPI/Aldhi Chandra) “Para personel semuanya suka sekali musik, jadi saya ingin juga semua member bisa menulis atau memproduksi musik sendiri,” jelas Seunghan. Sebagai pamungkas, salah satu personel tertua, Sungchan mengungkap dirinya hanya ingin RIIZE dan para penggemar-BRIIZE bisa terus berhubungan baik dan selalu sehat. (Sungchan RIIZE, Foto: MPI/ Aldi Chandra) “Saya ingin ke depannya, RIIZE dan semua BRIIZE bisa berhubungan baik, bahagia, dan sehat selalu,” pungkas Sungchan sambil tersenyum.",okezone,hiburan
"JAKARTA - MVP Pictures menghadirkan film bertajuk Sengkolo - Pemandi Mayat. Proses produksi film horor ini akan dimulai pada bulan November 2023.

""MVP Pictures selalu berkomitmen untuk menyajikan cerita yang tidak hanya menghibur, tetapi juga dapat membangkitkan perasaan dan pengalaman yang dapat terhubung dengan baik dengan masyarakat. Saya berharap film ini bisa diterima dengan baik oleh para pecinta film Indonesia,"" ujar Raam Punjabi, Produser dari film ini.

Film Sengkolo - Pemandi Mayat akan disutradarai oleh Hanny Saputra, dengan naskahnya ditulis oleh Rebecca M. Bath. Tim produksi film ini akan dipimpin oleh Ody Mulya Hidayat dan Soemijato Muin.

BACA JUGA: Film Indonesia yang Tampil di Festival Internasional Jadi Pertimbangan Masuk Nominasi FFI 2023

Dalam kearifan lokal Jawa, Sengkolo adalah sebuah entitas negatif yang seringkali menghantui manusia, membawa kesialan, dan membawa malapetaka. Pada malam satu Suro, Sengkolo dikisahkan bergerak mengincar beberapa weton yang menjadi mangsanya.

""Kisah-kisah dari budaya Jawa begitu kaya dan menarik, salah satunya adalah kisah tentang Sengkolo. Kami sangat antusias untuk menghadirkan cerita ini kepada penggemar film horor Indonesia,"" ungkap Ody Mulya Hidayat.

""Sengkolo - Pemandi Mayat terinspirasi dari beragam peristiwa nyata, yang menjadikannya sebagai potensi besar untuk menjadi film horor yang menarik untuk disaksikan di bioskop,"" tambah Soemijato Muin.

BACA JUGA: 5 Film Indonesia Siap Tayang di November 2023

Follow Berita Okezone di Google News

Sengkolo - Pemandi Mayat akan mengisahkan kisah seorang pria yang merasa terpuruk dan kehilangan keyakinan setelah mengalami tragedi kehilangan istri dan anak-anaknya pada malam satu Suro. Sutradara Hanny Saputra mengungkapkan bahwa Sengkolo - Pemandi Mayat tidak sekadar menawarkan ketegangan horor. ""Ada sisi romantis dan sisi kemanusiaan yang menyentuh dalam sebuah film horor yang tidak hanya menegangkan yang patut disaksikan,"" ucap Hani. Film ini akan diperankan oleh sejumlah aktor berbakat, termasuk Donny Alamsyah, Fauzan Nasrul, Nesia Weroza Puspa, dan Kenya Nindia.",okezone,hiburan
"Kompas.tv - 28 Oktober 2023, 18:31 WIB

Penyanyi Taylor Swift masuk ke dalam jajaran miliarder berdasarkan Bloomberg Billionaires Index, dengan total kekayaan bersihnya mencapai 1,1 miliar dolar AS atau sekitar Rp17,5 triliun. (Sumber: AP Photo/George Walker IV)

JAKARTA, KOMPAS.TV - Nama penyanyi Taylor Swift masuk ke dalam jajaran miliarder berdasarkan Bloomberg Billionaires Index, dengan total kekayaan bersihnya mencapai 1,1 miliar dolar AS atau sekitar Rp17,5 triliun.

“Swift pada dasarnya adalah konglomerat multinasional dengan basis pelanggan paling setia di dunia, CEO paling karismatik, dan kekuatan ekonomi yang signifikan,” demikian pernyataan dari Bloomberg.

Bloomberg menyatakan bahwa Taylor Swift menjadi salah satu dari segelintir musisi yang mendapatkan status sebagai miliarder hanya dari musik dan penampilannya.

Baca Juga: Link Pembelian dan Harga Tiket Film Konser Taylor Swift The Eras Tour, Dijual Mulai 27 Oktober 2023

Kekayaan Taylor Swift ini tidak lepas dari The Eras Tour yang menandai dua dekade kariernya di bidang musik dan perayaan 10 album musik.

Disebutkan bahwa 53 tur di AS tahun ini menjadi tur dengan pendapatan kotor tertinggi sepanjang masa karena telah menghasilkan sekitar lebih dari 700 juta dolar AS atau Rp11,3 triliun dari penjualan tiket.

Bloomberg memprediksi kekayaan Taylor Swift berdasarkan analisis nilai katalog musik, lima rumah, keuntungan dari penjualan musik, streaming, tiket konser, hingga merchandise.

Estimasi itu memperhitungkan pajak penghasilan, biaya tur dan perjalanan, serta pembayaran kepada karyawannya.

Melansir Forbes, kekayaan Taylor Swift sebagian besar diperoleh dari royalti musik dan tur yang jumlahnya lebih dari 500 juta dolar AS. Sebanyak 500 juta dolar lainnya didasarkan pada meningkatnya nilai katalog musik.

Taylor Swift juga memiliki kekayaan sebanyak 125 juta dolar AS atau Rp1,9 triliun berupa real estat, termasuk enam rumah dan sebuah pesawat pribadi senilai 10 juta dolar AS atau Rp159 miliar.

Baca Juga: Film Taylor Swift: The Eras Tour Tayang Mulai 3 November di Indonesia, Ini Bocorannya

Dalam peringkat Forbes, pelantun tembang Anti-Hero itu menjadi selebritas ke-15 yang mendapat julukan sebagai miliarder.

Uniknya, Swift berbeda dari rekannya. Ia tidak memiliki bisnis lain, selain hanya bermusik. Ia tidak seperti Jay-Z yang selain musisi, juga memiliki dua merek minuman keras dan berinvestasi di perusahaan Uber.

Demikian pula Rihanna yang menjadi miliarder berkat bisnis kecantikannya, Fenty Beauty dan pakaian Savage X Fenty.",kompas,hiburan
"Kompas.tv - 31 Oktober 2023, 18:50 WIB

Poster film The Marvels, salah satu film yang tayang pada bulan November 2023 di bioskop. (Sumber: Instagram/marvelindonesia)

JAKARTA, KOMPAS.TV - Sejumlah film bergenre horor, percintaan, superhero hingga komedi akan tayang pada bulan November 2023 di bioskop.

Bagi yang menyukai film bergenre komedi romantis, jangan ketinggalan beberapa film baru yang dirilis pada November ini.

Para pencinta horor juga akan disuguhkan beberapa film horor, baik produksi tanah air maupun luar negeri, yang menarik pada bulan ini.

Daftar Film yang Tayang November 2023

1. Budi Pekerti

Minggu pertama bulan November 2023, akan disambut film Budi Pekerti karya Wregas Bhanuteja

Film yang dibintangi oleh Sha Ine Febriyanti, Dwi Sasono, Prilly Latuconsina, Angga Yunanda, Omara Esteghlal, dan Ari Lesmana ini akan tayang perdana pada 2 November 2023.

Baca Juga: Harga Tiket Golden Disc Awards Jakarta 2024 Berapa? Ini Kisaran dan Jadwalnya

Budi Pekerti bercerita tentang Bu Prasni (Sha Ine Febriyanti), seorang guru BK yang terlibat perselisihan dengan salah satu pengunjung pasar.

Sayangnya, kejadian tersebut berhasil direkam oleh seseorang dan diunggah ke media sosial. Video tersebut pun mendapat komentar negatif karena Bu Prani dinilai tidak mencerminkan sikap seorang guru.

Setelah video tersebut tersebar luas, keluarga Bu Prasni pun ikut dikecam masyarakat. Segala tindakan dan perilaku masing-masing anggota keluarga pun mulai dinilai dan dicari-cari kesalahannya.

Hal tersebut pun membuat hidup keluarga Bu Prasni menjadi tidak tenang karena apa pun yang mereka lakukan selalu salah di mata masyarakat.

Hal itu mengakibatkan keharmonisan keluarga Bu Prasni terganggu dan bahkan ada anggota keluarga yang terancam kehilangan pekerjaan.

2. Nona Manis Sayange

Nona Manis Sayange juga akan tayang perdana di bioskop pada 2 November 2023.

Film bergenre drama komedi ini mengangkat kisah cinta antara Sika, seorang gadis Labuan Bajo, dan Akram, pemuda dari luar Labuan Bajo.

Selain menghadirkan cerita cinta yang memikat, film ini juga menyoroti isu mahar atau belis yang masih relevan dan berlangsung di Labuan Bajo hingga saat ini.

Film Nona Manis Sayange dipenuhi nuansa cinta dalam balutan komedi yang ceria.

Nona Manis Sayange dibintangi Haico Van Der Veken, Denzel Jordan Pangeran, Bhisma Mulia, Mathias Muchus dan Totos Rasiti.

Baca Juga: Golden Disc Awards akan Digelar di JIS 6 Januari 2024, Line Up Diumumkan Kapan?

3. Kultus Iblis

Bagi penggemar horor, film Kultus Iblis mungkin akan menarik perhatian Anda.

